P, A, etiqueta
"Voy a invitar a un amigo a mi casa","Voy a pasar un buen rato después de mucho tiempo",0
"¿Por qué pides una casa?", "Te voy a llevar para allá", 0
"La casa está muy desordenada","Usa la aspiradora",0
"La casa está sucia","Usa la aspiradora",0
"¿Por qué preguntas dónde está mi casa?", "Te voy a llevar", 0
"No puedo concentrarme","Está bien tomar un descanso",0
"¿Por qué no puedo concentrarme tanto?", "Está bien tomar un descanso", 0
"Es como una obsesión, ¿qué pensará?", "Si la otra persona se siente así", 0
"Parece una obsesión", "Lo consideraré una prueba de cariño", 0
"¿Es obsesión?", "Si la otra persona se siente así", 0
"Supongo que es una obsesión","Voy a pensar en ello como una prueba de afecto",0
"Ruido de tintineo entre pisos","Debes estar sufriendo por tus vecinos",0
“Me muevo según el horario programado”, “Hay momentos en los que me siento cómodo con eso”, 0
"Pedí jajangmyeon","Jjajangmyeon es delicioso incluso comido solo",0
"Molesto","¿Qué tal música relajante cuando estás molesto?",0
“Salí porque me molestó”, “Debe ser complicado”, 0
“Salí de la casa porque estaba molesto”, “Mi mente debe estar complicada”, 0
"Estoy molesto", "Jjajangmyeon cuando está molesto", 0
"Molesto","Jjajangmyeon cuando está molesto",0
"¿Se lo puedo dar a mi compañero?", "Sé valiente", 0
"¿Te sentirías agobiado si le hicieras un regalo a tu pareja?", "Sé valiente", 0
"¿Es una carga darle un regalo a alguien que te gusta?"","Sé valiente",0
"¿Le puedo dar un pepero a mi crush?"","Sé valiente",0
"Estoy a punto de que me despidan", "Vuelve al principio y trabaja duro", 0
"Hace mucho frio","Hoy va a hacer frio",0
"Me encanta","Me gusta también",0
"Quiero comer jjolmyeon","Por favor cocínalo rápido",0
"Me recuerda a Jjolmyeon","Por favor cocina rápido",0
"Tengo que llegar hasta el final", "Está bien mirar hacia atrás", 0
"Quiero ir a un jjimjilbang", "Me siento renovado solo de pensarlo", 0
"¿Debería mostrar mi cara desnuda cuando voy a un jjimjilbang?","No creo que use maquillaje en un jjimjilbang",0
"¿Debería quitarme el maquillaje cuando voy a un jjimjilbang?","No creo que me maquille en un jjimjilbang",0
"Quiero ir a un jjimjilbang a sudar", "Solo pensarlo me hace sentir renovado", 0
"Ha vuelto a subir el precio de la gasolina","Utilicen el transporte publico",0
"Necesito alquilar un auto","Supongo que necesitas un auto",0
"El tráfico está bloqueado","Tómate tu tiempo",0
"Mejor te compras un coche","Tú decides",0
"Creo que necesito comprar un auto","Elige un buen auto",0
"Me compraré un coche","Elige un buen coche",0
"¿Me compro un coche?", "Tú decides", 0
"¿Qué haces cuando el auto está realmente bloqueado?", "Tómate tu tiempo", 0
"Es inconveniente vender un auto","Acepta algunos inconvenientes",0
“Vendí mi auto y es incómodo”, “Abraza un poco de incomodidad”, 0
"¿Pedimos una taza de té?", "Anímate y dilo", 0
"Sentirse discriminado","Es feo discriminar a la gente",0
"Odio más la discriminación","Es feo discriminar a la gente",0
"Si vives con bondad, serás bendecido", "Cosecharás lo que siembras", 0
"Creo que soy amable, pero ignóralo", "Debo haber sufrido mucho", 0
"Un mundo que acosa a la gente buena", "Debo haber sufrido mucho", 0
“Espero que a la gente buena le vaya bien”, “Cosecharás lo que siembres”, 0
“Espero que a la gente buena le vaya bien”, “Cosecharás lo que siembres”, 0
"Solo sale agua fría","Ver si la caldera funciona con agua caliente",0
"Quiero un cabello brillante","No es fácil de manejar",0
"Si no hubiera interferido","Podría ser una torpe expresión de cariño",0
"No te entrometas","Quiero ser útil",0
"¿Puedo perseverar y seguir intentándolo?", "El que sea perseverante podrá poner sus manos en cualquier cosa", 0
"¿Es mejor contenerse?", "Es bueno expresarse a veces", 0
"¿Debería aguantarlo?", Es bueno expresarlo a veces", 0
"El melón es delicioso","Disfruta tu comida",0
"Deberías comer melón","Disfruta tu comida",0
"¿Puedes tener éxito si perseveras?", "Si puedes perseverar, puedes poner tus manos en cualquier cosa", 0
"Quiero comer estofado de atún con kimchi","Está delicioso",0
"Abrí la ventana y salí", "Por favor, entra y ciérrala", 0
"Dejé la ventana abierta","Entra y ciérrala",0
“Me preocupa montar un negocio”, “Parece que necesitas mucha preparación”, 0
"¿Debería montar un negocio?", "Parece que necesitas mucha preparación", 0
"Debes montar un negocio", "Prepárate despacio", 0
“Quiero emprender”, “Prepárate hasta estar seguro”, 0
"¿Puedo iniciar un negocio?", "Prepárate hasta que estés seguro", 0
"Es vergonzoso","No tienes que hacerlo",0
"No devolví el libro","Se me habrá olvidado",0
“Estoy leyendo un libro, pero solo entran letras”, “¿Dónde hay que mirar hasta las letras?”,0
"Debería pedir prestado un libro", "Ir a la biblioteca", 0
"Un libro de regalo sería lo mejor","Descubre qué campo te gusta",0
“Debería regalarte un libro”, “Descubre qué campo te gusta”, 0
"Dónde vender libros","Véndelos en librerías de viejo",0
"Debería leer un libro","Es una buena idea",0
"Dime donde puedo vender libros","Véndelos en librerías usadas",0
“Me da sueño solo con leer libros”, “Supera el peso de tus párpados”, 0
"Solo abre el libro y vete a dormir", "Supera el peso de los párpados", 0
"Estaba leyendo un libro, pero solo vi el texto", "Dónde está para leer el texto", 0
"Voy a remodelar mi escritorio","Yo también quiero probarlo",0
"Necesito ordenar la estantería","Necesito ordenar",0
"Necesito limpiar la estantería","Necesito organizarla",0
"Demasiadas cosas para empacar","Solo tengo diez",0
"¿Qué le dices a alguien que estás viendo por primera vez?", "Piensa en encontrar algo en común", 0
"¿De qué hablas con alguien que estás viendo por primera vez?", "Piensa en encontrar algo en común", 0
"Primer viaje al extranjero","Estoy emocionado",0
“Es difícil hablar con él al principio”, “Es difícil al principio y después será menos”, 0
“Cómo hacer amigos en primer lugar”, “Tengo que acercarme y conocerte primero”, 0
"¿Qué envías primero en KakaoTalk?", "Pregunta cómo estoy", 0
“Al principio no me gustaba, pero me gusta”, “Debe ser algo para ver”, 0
“Estuvo bien al principio, pero empeoró”, “Piensa en las cosas buenas de esa persona”, 0
“Fue lindo al principio”, “Piensa en las cosas buenas de esa persona”, 0
“Es porque es mi primera vez”, “Soy un poco torpe, pero todo saldrá bien”, 0
"Pareces un genio","Gracias",0
"Obtuve hierro demasiado pronto", "Puedes obtener hierro cuando mueras", 0
“Es un poco como que crecí rápido”, “Los niños son hermosos solo cuando son niños”, 0
"Qué hacer en una primera cita","La vista nocturna es maravillosa, ve a ver la vista nocturna",0
"Es mi primer día de trabajo","Debo estar muy nerviosa",0
"Quiero conocerte el primer día de nieve", "Tengo envidia de que exista una persona así", 0
"Quiero estar contigo cuando caiga la primera nevada", "Tengo envidia de que exista alguien así", 0
“Deja una fuerte impresión en la primera impresión”, “Los primeros 3 segundos son importantes. Atrae tu encanto”,0
"¿Cómo juzgas tu primera impresión?", "Tu primera impresión se determina en 3 segundos cuando miras a la otra persona",0
“Ir a trabajar por primera vez”, “Al principio será difícil, pero me acostumbraré”, 0
"Al menos debería escuchar","Trabajo duro",0
"voy a la audición","estoy trabajando duro",0
"La limpieza no se nota","Hazlo una vez más",0
"Está sucio aunque lo limpies","Hazlo una vez más",0
"Limpiar es demasiado molesto","Limpiar es un hábito",0
"Se acumula polvo porque no lo limpié","Haz una limpieza profunda",0
"Limpiar es molesto","Limpiar es un hábito",0
"Gestión de fitness","Ejercicio",0
"Odio los eventos deportivos","Encuentra un evento interesante",0
"Si no has tenido un evento deportivo","Busca un evento interesante",0
"Hay un evento deportivo","Consulta el pronóstico del tiempo",0
“Se me olvidó otra vez el uniforme de gimnasia”, “Lo pido prestado a otro compañero”, 0
"No traje mi uniforme de gimnasia", "Lo pido prestado a otro compañero", 0
"Un día dando vueltas en la cinta de correr", "Encuentra el valor y el sentido en ello",0
"La vida da vueltas como una cinta de correr", "Encuentra el valor y el sentido en ella",0
"¿Te hago chocolate?", "Me gustará", 0
"Te gustaria que te regalara un chocolate","Me gustaria",0
"Ajustando el peso máximo","Es hora de bajar",0
"Lo mejor es ser feliz","Para estar seguros de que somos amados",0
"Creo que hiciste lo mejor que pudiste","Si hiciste lo mejor que pudiste, puedes disfrutar el tiempo en sí",0
"Hice lo mejor que pude","Si hiciste lo mejor que pudiste, puedes disfrutar el tiempo mismo",0
"¿Cobras el salario mínimo?", "Gano más de lo que pensaba", 0
"No conseguí un trabajo de medio tiempo con el salario mínimo", "Revisen si la empresa está usando trucos", 0
“Ha subido el salario mínimo, pero por qué el salario es el mismo”, “Comprobar si la empresa hace trampas”, 0
"No quiero ir a Chuseok","No vayas",0
"No quiero ir a casa en Chuseok","No te vayas",0
"No quiero salir porque hace frío", "Es mejor quedarse en casa comiendo mandarinas en invierno", 0
"Hace frío","¿Qué tal una taza de té caliente?",0
"Casi me muero del frio","Cuidado con no resfriarme",0
"Me muero de frío","Cuidado con no resfriarme",0
"Menú recomendado","Prueba algo diferente",0
"Tengo que ir al fútbol", "Ven después de hacer ejercicio", 0
"Viendo videos de fútbol","No veo la hora de que pase el tiempo",0
"Es pollo y cerveza al ver fútbol", "Es divertido de ver", 0
"Viendo fútbol","No puedo creer que el tiempo pase",0
"Él es bueno en el fútbol", "Los que son buenos en los deportes son geniales", 0
"Tengo que ir a jugar al fútbol", "Ven después de hacer ejercicio", 0
“Preocupado por el dinero del regalo”, “No te preocupes por la gente que te rodea, ponlo de acuerdo a tus circunstancias”, 0
“Cuánto dinero se suele dar”, “Paga tanto como recibes o empareja con gente de tu entorno”, 0
"Cuánto pagar de regalo","Paga tanto como recibes o empareja con personas de tu entorno",0
"¿Cuánto dinero debo dar como regalo de felicitación?", "No te preocupes por las personas que te rodean, ponlo de acuerdo a tus circunstancias", 0
"Estoy ocupado preparándome para el festival","Espero que termine con éxito",0
"Disfruta el día del festival","Disfrútalo mientras puedas",0
"¿Fatiga de primavera?", "Dormir un poco", 0
"Debe ser el cansancio primaveral, tengo sueño", "Duerme un rato", 0
"Hay alguien que veo todos los días de camino al trabajo", "Puede ser el destino", 0
"Ir a trabajar en sí es estresante", "Debo tener mucho estrés en el trabajo", 0
"Es muy difícil ir a trabajar","Acércate al trabajo",0
"Estoy atascado en mi camino al trabajo", "Supongo que no quieres ir a trabajar hoy", 0
"El viaje al trabajo es excepcionalmente largo","No debes querer ir a trabajar hoy",0
"Es una pérdida de tiempo ir a trabajar","Acércate al trabajo",0
"Ir a trabajar es estresante", "Debo estar estresado en el trabajo", 0
"Tarda demasiado en ir al trabajo","Acérquese al trabajo",0
"No quiero ir a trabajar","Debo estar bajo mucho estrés en el trabajo",0
“Me estreso en cuanto voy a trabajar”, ​​“La empresa es la causante del estrés”, 0
"Se tarda mucho en ir al trabajo","Trata de usar el transporte público",0
"Me gustaría que el tiempo de viaje fuera más corto", "Intenta usar el transporte público", 0
"No traje mi cargador","Tomalo prestado",0
"No traje mi cargador","Tomalo prestado",0
"Necesito cargarlo","Buscar un cargador",0
“Hagamos un hobby”, “Sería lindo empezar algo”, 0
"Escuché que es bueno hacer pasatiempos juntos", "Nos conoceremos más si lo hacemos juntos", 0
"Se necesita mucho dinero para vivir un hobby", "Aún así, la vida es divertida solo cuando tienes un hobby", 0
"Las aficiones cuestan demasiado","Aún así, tener una afición es divertido",0
"Es difícil de beber", "Es un agujero de aguja", 0
"Me quiero emborrachar","Conseguir trabajo o no",0
“Se alarga el periodo de no poder encontrar trabajo”, “Será durante la próxima convocatoria abierta”, 0
“Tomará más tiempo prepararse para el empleo”, “Será durante la próxima contratación abierta”, 0
"Es difícil prepararse para el empleo","Te deseo éxito",0
"Debe ser demasiado difícil conseguir un trabajo", "Cree en tus habilidades", 0
"No es fácil conseguir trabajo", "Es un agujero de aguja", 0
"Quiero conseguir un trabajo", "Podré hacer todo lo que quiera", 0
"Debe ser difícil conseguir un trabajo", "Cree en tus habilidades", 0
“Quieres encontrar trabajo”, “Será difícil ahora, pero luego podrás reír”, 0
"No puedo conseguir trabajo", "Podré conseguir trabajo donde quiera", 0
"Si conseguí un trabajo","No conseguí un trabajo",0
"Quiero conseguir un trabajo", "Podré conseguir un trabajo donde yo quiera", 0
"Soy demasiado viejo para conseguir un trabajo", "La edad es solo un número", 0
"Pensé que no tenía que estudiar si conseguía un trabajo", "El estudio nunca termina", 0
"Pensé que no tendría que estudiar si conseguía un trabajo", "El estudio nunca termina", 0
"No es el final una vez que consigues un trabajo", "La competencia es cada vez más feroz", 0
"Pensé que se acabaría una vez que consiguiera un trabajo, pero todavía hay mucho por hacer", "La competencia es cada vez más feroz", 0
"Debería conseguir un trabajo", "Será difícil ahora, pero podrás reírte más tarde", 0
“Creo que sé por qué hay asesinatos por el ruido entre pisos”, “Porque se invade la vida cotidiana”, 0
"Ruido severo entre pisos","Denuncialo",0
"Me estoy volviendo loco por el ruido entre pisos","Reclamación de daños con prueba",0
